filename,status,filer_name,doc_type,error_detail
2024_Bhalla_30021897.pdf,Success,Ravi Bhalla,Unknown,
2023_Bruneau_10053620.pdf,Success,Mr. Christopher Marc Bruneau,Full Report,
2024_Paulina Luna_10068787.pdf,Success,Hon. Anna Paulina Luna,Full Report,
2024_Sajna_10070286.pdf,Success,Mr. Cyrus Mr Sajna,Full Report,
2024_Cerezo Swaffar_10061625.pdf,Success,Darlene Cerezo Swaffar,Full Report,
2024_Swalwell_10066827.pdf,Success,Hon. Eric Swalwell,Full Report,
2024_Kennedy_10068878.pdf,Success,Hon. Timothy Kennedy,Full Report,
2023_Westerman_10060295.pdf,Success,Hon. Bruce Westerman,Full Report,
2024_Lorinser_10062386.pdf,Success,Dr. Bob Lorinser Jr.,Full Report,
2023_Stevens_10060894.pdf,Success,Hon. Haley Stevens,Full Report,
2024_Taylor_10058789.pdf,Success,David Taylor,Full Report,
2024_Castillo_30022169.pdf,Success,Jose Castillo,Unknown,
2024_Peters_10067117.pdf,Success,Hon. Scott H. Peters,Full Report,
2023_Crawford_10057567.pdf,Success,Hon. Eric A.,Full Report,
2023_Davis_8220509.pdf,Failed,N/A,N/A,OCR_REQUIRED: No machine-readable text found.
2024_Simon_30025278.pdf,Success,Hon. Lateefah Simon,Unknown,
2023_Sajna_10056150.pdf,Success,Mr. Cyrus Sajna,Full Report,
2023_Smith_10061508.pdf,Success,Hon. Christopher H. Smith,Full Report,
2024_Veasey_10066347.pdf,Success,Hon. Marc A. Veasey,Full Report,
2024_Neguse_10067275.pdf,Success,Hon. Joseph Neguse,Full Report,
2023_Savage_10052771.pdf,Success,Ben Savage,Full Report,
2023_Burrows_10054463.pdf,Success,Johnathon Burrows,Full Report,
2023_Correa_10063391.pdf,Success,Hon. Lou Correa,Full Report,
2024_Amodei_10067998.pdf,Success,Hon. Mark E. Amodei,Full Report,
2023_Crockett_10061435.pdf,Success,Hon. Jasmine Crockett,Full Report,
2023_McGuire_10063588.pdf,Success,Hon. John McGuire,Full Report,
2023_Marter_10055246.pdf,Success,James Thomas Marter,Full Report,
2024_Kane_10060549.pdf,Success,Caroline Kane,Full Report,
2023_Rodgers_10057665.pdf,Success,Hon. Cathy McMorris Rodgers,Full Report,
2024_Boyd_10061379.pdf,Success,Stephen Boyd,Full Report,
2024_Ciscomani_10067485.pdf,Success,Hon. Juan Ciscomani,Full Report,
2024_Hood_30019589.pdf,Success,Ron Hood,Unknown,
2024_Fallick-Wang_40003591.pdf,Success,Katrina Fallick-Wang,Unknown,
2023_Gomez_10059944.pdf,Success,Hon. Jimmy Gomez,Full Report,
2023_Gaye_40003502.pdf,Success,Mr. Joseph Oliver Gaye,Unknown,
2024_Todd_10062608.pdf,Success,Chester Todd,Full Report,
2024_Jackson_30023134.pdf,Success,Hon. Ronny Lynn Jackson,Unknown,
2023_Filler-Corn_10056171.pdf,Success,Eileen Filler-Corn,Full Report,
2024_Harris_10061601.pdf,Success,Shawn Harris,Full Report,
2024_Yakym_10066284.pdf,Success,Hon. Rudy C. Yakym III,Full Report,
2023_DeSpain_10056366.pdf,Success,Monique DeSpain,Full Report,
2023_Nembhard_10056550.pdf,Success,Travis Nembhard,Full Report,
2024_Scalise_10067107.pdf,Success,Hon. Steve Scalise,Full Report,
2023_Hancock_40003519.pdf,Success,Mark Kenneth Hancock,Unknown,
2023_Eppler_10055172.pdf,Success,Sam Eppler,Full Report,
