ticker,filer,filing_datetime,impulse,doc_id
CHRD,HON.,2024-02-15 00:00:00+00:00,0,20024461
SSDOY,HON.,2024-02-15 00:00:00+00:00,0,20024461
XNGSY,HON.,2024-02-15 00:00:00+00:00,0,20024461
MEDP,HON.,2024-02-15 00:00:00+00:00,0,20024461
META,HON.,2024-03-07 00:00:00+00:00,0,20024612
AMD,HON.,2024-03-07 00:00:00+00:00,0,20024612
BKNG,HON.,2024-03-07 00:00:00+00:00,0,20024612
TTD,HON.,2024-03-07 00:00:00+00:00,0,20024612
CTSH,HON.,2024-03-07 00:00:00+00:00,0,20024612
NVDA,HON.,2024-03-07 00:00:00+00:00,0,20024612
MRNA,HON.,2024-03-07 00:00:00+00:00,0,20024612
SCHW,HON.,2024-03-07 00:00:00+00:00,0,20024612
LRLCY,HON.,2024-03-07 00:00:00+00:00,0,20024612
REGN,HON.,2024-03-07 00:00:00+00:00,0,20024612
MSCI,HON.,2024-03-07 00:00:00+00:00,0,20024612
NFLX,HON.,2024-03-07 00:00:00+00:00,0,20024612
TSM,HON.,2024-03-07 00:00:00+00:00,0,20024612
DE,HON.,2024-03-07 00:00:00+00:00,0,20024612
MSFT,HON.,2024-03-07 00:00:00+00:00,0,20024612
TEX,HON.,2024-03-07 00:00:00+00:00,0,20024612
DBSDY,HON.,2024-03-07 00:00:00+00:00,0,20024612
KKR,HON.,2024-03-07 00:00:00+00:00,0,20024612
FCX,HON.,2024-03-07 00:00:00+00:00,0,20024612
MS,HON.,2024-03-07 00:00:00+00:00,0,20024612
LNG,HON.,2024-03-07 00:00:00+00:00,0,20024612
LLY,HON.,2024-03-07 00:00:00+00:00,0,20024612
MDB,HON.,2024-03-07 00:00:00+00:00,0,20024612
FSLR,HON.,2024-03-07 00:00:00+00:00,0,20024612
EXAS,HON.,2024-03-07 00:00:00+00:00,0,20024612
CHRD,HON.,2024-03-07 00:00:00+00:00,0,20024612
PANW,HON.,2024-03-07 00:00:00+00:00,0,20024612
AMD,HON.,2024-04-07 00:00:00+00:00,-1,20024801
DHI,HON.,2024-04-07 00:00:00+00:00,-1,20024801
